racket_name,manufacturer,head_size_in,head_size_cm,length_in,length_cm,weight_oz,weight_g,balance_in,balance_cm,balance_pts,swingweight,stiffness,beam_width_1,beam_width_2,beam_width_3,composition,power_level,stroke_style,swing_speed,grip_type,string_mains,string_crosses,stringing_instructions,racquet_colors,string_tension
Head Boom Team L Mint Racquet,,107,690.32,27.4,69.6,9.7,275,13.65,34.67,0 pts EB,310,63,25,25,22,Auxetic 2/Graphene Inside/Graphite,Medium,Medium,Medium,Hydrosorb Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Mint,48-57 pounds
Head Boom MP Mint Racquet,,100,645.16,27,68.58,11,312,12.79,32.49,6,317,62,23,24,22,Auxetic 2/Graphene Inside/Graphite,Low-Medium,Medium-Full,Medium-Fast,Hydrosorb Pro,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Mint!,48-57 pounds
Yonex EZONE 100L Racquet,,100,645.16,27,68.58,10.5,298,13.18,33.48,3,308,69,23.8,26.5,22.5,2G NAMD Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue/Green,40-55 pounds
"Yonex EZONE 25"" Junior Racquet",,100,645.16,25,63.5,,,,,,,,,,,Graphite,,,,,16,18,18 Crosses,Blue,
Yonex Percept 97 Racquet,,97,625.81,27,68.58,11.5,326,12.59,31.98,7,315,60,21,21,21,NAMD-2G/H.M.Graphite,Low,Full,Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Mint,45-60 pounds
Yonex EZONE 98+ Racquet,,98,632.26,27.5,69.85,11.4,323,13.07,33.2,5,333,64,23.5,24.5,19.5,2G-NAMD SPEED/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
"Yonex EZONE 26"" Junior Racquet",,100,645,26,66.04,8.8,250,,,,,,,,,Graphite,,,,,16,18,18 Crosses,Blue,
Yonex EZONE 100 SL (2025) Racquet,,100,645.16,27,68.58,10,283,13.38,33.99,1,297,66,24.5,26.5,23,Minolon/2NAMD-Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,18,"18 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,40-55 pounds
Yonex EZONE 100+ (2025) Racquet,,100,645.16,27.5,69.85,11.2,318,13.38,33.99,3,332,68,24.5,26.5,23,Minolon/2NAMD-Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex EZONE 100L Aqua Night Black Racquet,,100,645.16,27,68.58,10.5,298,13.18,33.48,3,308,69,23.8,26.5,22.5,2G NAMD Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Black,40-55 pounds
Yonex EZONE 100 Aqua Night Black Racquet,,100,645.16,27,68.58,11.2,318,13,33.02,4,317,67,23.8,26.5,22.5,2G-NAMD SPEED/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Black,45-60 pounds
Yonex Percept 100D Racquet,,100,645.16,27,68.58,11.3,320,12.79,32.49,6,318,66,23,23,23,NAMD-2G/H.M.Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,18,19,"19 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",Mint,45-60 pounds
Yonex VCORE 100 Sand Beige Racquet,,100,645.16,27,68.58,11.3,320,13,33.02,4,322,65,25.3,25.3,22,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Beige!,45-60 pounds
Yonex EZONE 100 (2025) Racquet,,100,645.16,27,68.58,11.2,318,13,33.02,4,315,68,24.5,26.5,23,Minolon/2NAMD-Speed/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex EZONE 100+ Racquet,,100,645.16,27.5,69.85,11.2,318,13.38,33.99,3,336,67,23.8,26.5,22.5,2G-NAMD SPEED/HM Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,45-60 pounds
Yonex Percept 97D Racquet,,97,625.81,27,68.58,11.9,337,12.59,31.98,7,329,62,21,21,21,NAMD-2G/H.M.Graphite,Low,Full,Fast,Yonex Synthetic,18,20,"20 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",Mint,45-60 pounds
Yonex VCORE 98 Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,318,62,23,23,21,2G-Namd FlexForce/H.M. Graphite,Low-Medium,Medium-Full,Medium-Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Red,45-60 pounds
Yonex Percept 97H Racquet,,97,625.81,27,68.58,12.2,346,12.59,31.98,7,333,62,21,21,21,NAMD-2G/H.M.Graphite,Low,Full,Fast,Yonex Synthetic,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Mint,45-60 pounds
"Yonex VCORE 26"" Junior Racquet (4)",,100,645.16,26,66.04,8.8,250 g,,,,,,,,,Graphite / VDM,,,,,16,18,18 Crosses,Red,
