racket_name,manufacturer,head_size_in,head_size_cm,length_in,length_cm,weight_oz,weight_g,balance_in,balance_cm,balance_pts,swingweight,stiffness,beam_width_1,beam_width_2,beam_width_3,composition,power_level,stroke_style,swing_speed,grip_type,string_mains,string_crosses,stringing_instructions,racquet_colors,string_tension
Prince Phantom 107G Racquet 2024,,107,690.32,27,68.58,11.4,323,12.59,31.98,7,320,62,21.5,20,17.5,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Tour,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Green,45-55 pounds
"Ektelon Rogue 19"" Junior Racquet",,85,215.9,19,48.26,,,,,,,,,,,Aluminium,,,,,,,,Teal/Black/Yellow,
"Ektelon Rogue 21"" Junior Racquet",,95,612.9,,,,,,,,,,,,,Aluminium,,,,,,,,Red/Yellow/Orange,
Prince Warrior 107 Racquet,,107,690.32,27,68.58,10.2,289,13.5,34.29,0 pts EB,313,68,28,27,24,Graphite,Low-Medium,Compact-Medium,Medium-Fast,Prince Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,50-60 pounds
Prince Twistpower X105 (290g) Racquet,,105,677.42,27,68.58,10.7,303,12.59,31.98,7,312,63,27,25,22,Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Black,45-55 pounds
Prince ATS Textreme Tour 100 290 Racquet,,100,645.16,27,68.58,10.8,306,13,33.02,4,318,62,22,23,20,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Resi Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",White,48-58 pounds
Prince Ripstick 98 Racquet 2025,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,328,67,27,25.5,22,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,48-58 pounds
Prince Warrior 100 (285g) Racquet,,100,645.16,27,68.58,10.6,301,13.18,33.48,3,313,65,24,26,22,Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H One Piece No Shared Holes","Black, Red",50-60 pounds
Prince Phantom 100X 305 Racquet,,100,645.16,27,68.58,11.4,323,12.69,32.23,6,321,58,22,20.5,18,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Tour,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Grey-Blue,45-55 pounds
Prince Phantom 100X 305g Racquet 2024,,100,645.16,27,68.58,11.4,323,12.79,32.49,6,320,59,22,20.5,18,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Tour,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Green,45-55 pounds
Prince Ripstick 100 300g Racquet 2025,,100,645.16,27,68.58,11.2,318,13,33.02,4,326,67,27,25.5,22,TexTreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,50-60 pounds
Prince ATS Textreme Tour 98 Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,325,62,23,23,20,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Resi Pro,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White,48-58 pounds
Prince ATS Textreme Tour 100 290 Carbon Racquet,,100,645.16,27,68.58,10.8,306,13,33.02,4,318,62,22,23,20,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Resi Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Carbon,48-58 pounds
Prince Warrior 100 (300g) Racquet,,100,645.16,27,68.58,11.2,318,12.79,32.49,6,311,65,24,26,22,Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,8H One Piece No Shared Holes","Black, Green, Yellow",50-60 pounds
"Prince Tour 25"" Junior Racquet",,100,645.16,25,63.50,7.9,225 g,,,,,,,,,Graphite,,,,,16,19,19 Crosses,White,
"Ektelon Rogue 23"" Junior Racquet",,99,251.46,,,,,,,,,,,,,Aluminium,,,,,,,,Blue/Yellow/Green,
Prince ATS Textreme Tour 100P Racquet,,100,645.16,27,68.58,11.4,323,12.59,31.98,7,322,61,22,23,20,Textreme/Twaron/Graphite,Low,Full,Fast,Prince Resi Pro,18,20,"20 Crosses Mains skip: 8T,10T,8H,10H One Piece No Shared Holes",White,45-55 pounds
Prince O3 Legacy 110 Racquet,,110,709.68,27.25,69.22,10.1,286,14,35.56,3 pts HH,327,73,25,27,26,Twaron/Textreme/Graphite,Medium,Medium,Medium,Prince ResiTex Soft,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,53-63 pounds
Prince ATS Textreme Tour 100 310 Racquet,,100,645.16,27,68.58,11.5,326,12.59,31.98,7,323,62,22,23,20,Textreme/Twaron/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Resi Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",White,48-58 pounds
Prince Phantom 100P Racquet 2024,,100,645.16,27,68.58,11.5,326,12.79,32.49,6,324,59,20.5,19.5,16.5,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Tour,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Green,48-58 pounds
Prince Phantom 100X 290g Racquet 2024,,100,645.16,27,68.58,10.7,303,13,33.02,4,317,59,22,20.5,18,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Tour,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Green,45-55 pounds
Prince Ripcord 100 265g Racquet,,100,645.16,27,68.58,9.8,278,13.66,34.7,1 pts HH,308,65,27,25,22,Textreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,19,"19 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Blue,48-58 pounds
"Ektelon Rogue 26"" Junior Racquet",,102,658.06,,,,,,,,,,,,,Aluminium,,,,,,,,Red/Black/White,
Prince Ripstick 100 280g Racquet 2025,,100,645.16,27,68.58,10.4,295,13.6,34.54,1 pts HH,317,66,27,25.5,22,TexTreme/Zylon/Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince ResiTex Pro,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,50-60 pounds
Prince Twistpower X100 Racquet,,100,645.16,27,68.58,10.8,306,13,33.02,4,314,66,24.5,24.5,20,Graphite,Low-Medium,Medium-Full,Medium-Fast,Prince Synthetic,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Black,45-55 pounds
Prince Classic Graphite 107 Racquet,,107,690.32,27,68.58,12.2,345.86,12.7,32.26,6,336,65,19,19,19,100% Graphite!,Low-Medium,Medium-Full,Medium-Fast,Prince Leather,16,19,19 Crosses Mains skip: 8T 8H Two Pieces No Shared Holes,Black w/Green Stripe,57-67 pounds
Tecnifibre TF40 305 (16x19) Racquet,,98,632.26,27,68.58,11.3,320,13.07,33.2,3,321,64,22,22,22,Dynacore XTC/Graphite,Low,Full,Fast,Tecnifibre Xtra Feel,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White,49-55 pounds
"Tecnifibre TFight Tour 25"" Junior Racquet",,100,645.16,25,63.50,8.4,240 g,,,,,,,,,Graphite,,,,,16,17,17 Crosses,White,
Tecnifibre TFight 270 Racquet,,100,645.16,27,68.58,10,283,12.99,32.99,4,300,65,23,23,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre X-Tra Feel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TF40 305g (18x20) Racquet 2024,,98,632.26,27,68.58,11.4,323,13.12,33.32,3,330,64,22,22,22,Dynacore XTC/Graphite,Low,Full,Fast,Tecnifibre Xtra Feel,18,20,"20 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TFight 315S Racquet,,98,632.26,27,68.58,11.7,332,12.59,31.98,7,325,65,22.5,22.5,22.5,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre X-Tra Feel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TF40 305g (16x19) Racquet 2024,,98,632.26,27,68.58,11.3,320,13.07,33.2,3,320,64,22,22,22,Dynacore XTC/Graphite,Low,Full,Fast,Tecnifibre Xtra Feel,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White,49-55 pounds
Tecnifibre TF40 305 (18x20) Racquet,,98,632.26,27,68.58,11.4,323,13.12,33.32,3,328,64,22,22,22,Dynacore XTC/Graphite,Low,Full,Fast,Tecnifibre Xtra Feel,18,20,"20 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TFight ISO 305 Racquet,,98,632.26,27,68.58,11.3,320,13.12,33.32,3,338,64,22.5,22.5,22.5,Dynacore HD/Graphite,Low-Medium,Full,Fast,Tecnifibre Synthetic,18,19,"19 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",White,50-55 pounds
Tecnifibre TF-X1 275 Racquet,,105,677.42,27,68.58,10.2,289,13.38,33.99,1,310,69,25,25.5,24.5,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre WaxGripFeel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TF40 315g (16x19) Racquet 2024,,98,632.26,27,68.58,11.7,332,12.51,31.78,8,319,63,22,22,22,Dynacore XTC/Graphite,Low,Full,Fast,Tecnifibre Xtra Feel,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White,49-55 pounds
Tecnifibre TF40 290g (16x19) Racquet 2024,,98,632.26,27,68.58,10.7,303,13.07,33.2,3,312,65,22,22,22,Dynacore XTC/Graphite,Low,Full,Fast,Tecnifibre Xtra Feel,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White,49-55 pounds
Tecnifibre TFight 300S Racquet,,98,632.26,27,68.58,11.2,318,13,33.02,4,321,66,22.5,22.5,22.5,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre Xtra Feel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TF-X1 285 Racquet,,100,645.16,27,68.58,10.5,298,13.25,33.66,2,316,71,24,24,24,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre WaxGripFeel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TF-X1 305 v2 Racquet,,98,632,27,68.58,11.4,323,12.79,32.49,6,333,70,24.5,24.5,24.5,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TF-X1 300 Racquet,,100,645.16,27,68.58,11.1,315,13,33.02,4,323,71,24,24,24,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre WaxGripFeel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TFight ISO 300 Racquet,,98,632.26,27,68.58,11.2,318,12.99,32.99,4,320,66,22.5,22.5,22.5,Dynacore HD/Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre Xtra Feel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TFight 300 Racquet,,100,645.16,27,68.58,11.2,318,12.99,32.99,4,318,65,22.5,22.5,22.5,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre X-Tra Feel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TFight 305S Racquet,,98,632.26,27,68.58,11.3,320,12.79,32.49,6,324,63,22.5,22.5,22.5,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre X-Tra Feel,18,19,"19 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",White,49-55 pounds
Tecnifibre TFight 285 Racquet,,100,645.16,27,68.58,10.5,298,12.85,32.64,5,303,63,23,23,23,Graphite,Low-Medium,Medium-Full,Medium-Fast,Tecnifibre X-Tra Feel,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",White,49-55 pounds
"Tecnifibre TFight Tour 26"" Junior Racquet",,100,645.16,26,66.04,8.8,250 g,,,,,,,,,Graphite,,,,,16,17,17 Crosses,White,
Dunlop FX 700 Racquet,,107,690.32,27.5,69.85,9.8,278,13.7,34.8,0 pts EB,325,67,23,27,23,Sonic Core Infinergy/Graphite,Medium,Medium,Medium,Dunlop Synthetic,16,18,"18 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Blue/Black,40-60 pounds
Dunlop SX 300 Tour Racquet 2025,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,321,69,23,26,23,Sonic Core Infinergy/Graphite,Low-Medium,Compact-Medium,Medium-Fast,Dunlop Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Teal/Yellow,45-65 pounds
Dunlop FX 500 Tour Racquet,,98,632.26,27,68.58,11.4,323,12.79,32.49,6,317,65,21,23,21,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue,45-65 pounds
Dunlop FX 500 Lite Racquet,,100,645.16,27,68.58,10,283,13.38,33.99,1,301,68,23,26,23,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Synthetic,16,18,"18 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue/Black,45-65 pounds
Dunlop LX 1000 Racquet 2024,,115,741.93,27,68.58,9.5,269,14.36,36.47,7 pts HH,305,75,27,28,26,Graphite,High,Compact,Slow,Dunlop Synthetic,16,18,"18 Crosses Mains skip: 7T,9T,8H Two Pieces No Shared Holes",Gray,40-55 pounds
Dunlop LX 800 Racquet 2024,,110,709.68,27,68.58,9.5,269,14.31,36.35,6 pts HH,296,75,26,27,26,Graphite,Medium-High,Compact-Medium,Slow-Moderate,Dunlop Synthetic,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Gray,40-55 pounds
Dunlop FX 500 Racquet,,100,645.16,27,68.58,11.3,320,13,33.02,4,321,69,23,26,23,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue/Black,45-65 pounds
Dunlop CX 200 Racquet,,98,632.26,27,68.58,11.3,320,12.63,32.08,7,314,64,21.5,21.5,21.5,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Viper Dry,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,45-65 pounds
Dunlop CX 400 Tour Racquet,,100,645.16,27,68.58,11.2,318,13,33.02,4,317,66,23,23,23,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Viper Dry,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,45-65 pounds
Dunlop CX 200 LS Racquet,,98,632.26,27,68.58,10.7,303,13.18,33.48,3,309,63,21.5,21.5,21.5,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Viper Dry,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,45-65 pounds
"Dunlop Nitro 27"" Junior Racquet",,100,645.16,27,68.58,9.7,275 g,,,,,,,,,Aluminum,,,,,16,19,19 Crosses,White/Black,
Dunlop CX 200 OS Racquet,,105,677.42,27,68.58,10.9,309,13.18,33.48,3,319,63,21.5,21.5,21.5,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Viper Dry,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,40-60 pounds
Dunlop CX 200 Tour 16x19 Racquet,,95,612.9,27,68.58,11.5,326,12.59,31.98,7,314,66,20.5,20.5,20.5,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Viper Dry,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,45-65 pounds
Dunlop CX 400 Racquet,,100,645.16,27,68.58,10.6,301,13.29,33.76,2,313,69,24,24,24,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Viper Dry,16,19,"19 Crosses Mains skip: 8T,8H Two Pieces No Shared Holes",Red,40-60 pounds
Dunlop CX 200 Tour 18x20 Racquet,,95,612.9,27,68.58,11.7,332,12.59,31.98,7,315,66,20.5,20.5,20.5,Sonic Core Infinergy/Graphite,Low,Full,Fast,Leather!,18,20,"20 Crosses Mains skip: 8T,10T,8H,10H One Piece No Shared Holes",Red!,45-65 pounds
Dunlop SX 300 Racquet 2025,,100,645.16,27,68.58,11.2,318,13,33.02,4,318,69,23,26,23,Sonic Core Infinergy/Graphite,Low-Medium,Compact-Medium,Medium-Fast,Dunlop Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Teal/Yellow,45-65 pounds
Dunlop FX 500 LS Racquet,,100,645.16,27,68.58,10.6,301,13.18,33.48,3,305,67,23,26,23,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Full,Medium-Fast,Dunlop Synthetic,16,19,"19 Crosses Mains skip: 7T,9T,7H,9H Two Pieces No Shared Holes",Blue/Black,45-65 pounds
Dunlop LX Team Racquet,,107,690.32,27,68.58,10,283,13.58,34.49,1 pts HH,312,64,23,27,23,Graphite,Medium,Medium,Medium,Dunlop Synthetic,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Gray,40-60 pounds
Volkl V-Cell 10 320g Racquet,,98,632.26,27,68.58,11.8,335,12.59,31.98,7,319,67,20.5,22.5,21,VCell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black,50-60 pounds
Volkl V-Cell 1 Racquet,,115,741.93,27.8,70.61,9.6,272,14.4,36.58,4 pts HH,312,70,28.5,27.5,28.5,VCell/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Volkl Synthetic,16,17,"17 Crosses Mains skip: 7T,9T,8H One Piece No Shared Holes",Black,48-58 pounds
Volkl Vostra V4 Racquet,,105,677.42,27.6,70.1,10.2,289,13.18,33.48,5,306,66,25,25,25,Red Cell/Graphite,Medium,Medium,Medium,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Green,46-60 pounds
Volkl V-Cell 8 285g Racquet,,100,645.16,27,68.58,10.5,298,13,33.02,4,303,70,22,24,22,V-Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Red,50-60 pounds
Volkl Vostra V2 Racquet,,115,741.93,27.6,70.1,10,283,14,35.56,2 pts HH,315,69,28,27,27,Red Cell/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White,46-60 pounds
Volkl V-Cell 3 Racquet,,110,709.68,27.8,70.61,10,283,13.65,34.67,2,313,69,28,27,26,V-Cell/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Volkl Synthetic Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Silver,46-60 pounds
Volkl V-Cell V1 Pro Racquet,,99,638.71,27,68.58,,,13,33.02,4,316,68,23,20,23,VCell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl Synthetic,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Green,50-60 pounds
Volkl Power Bridge 10 Mid Racquet,,93 sq. .,600 sq. .,27,68.58,12.1,343.03,12.5,31.75,8,322,61,19,19,19,"DNX, Carbon, Fiberglass",Low,Long,Fast,DNX Grip with Sensor Tour Handle,16,19,"19 Crosses Mains skip: 8T,7H,9H One Piece No Shared Holes",Black w/Anthracite Lettering,50-60 pounds
Volkl Vostra V9 305g Racquet,,100,645.16,27,68.58,11.4,323,13,33.02,4,316,65,21,23,21,Red Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black,50-60 pounds
Volkl V-Cell 8 300g Racquet,,100,645.16,27,68.58,11,312,12.85,32.64,5,312,67,22,24,22,V-Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Red,50-60 pounds
Volkl C10 Pro 25th Anniversary Racquet,,98,632.26,27,68.58,12.3,349,12.5,31.75,8,326,62,20,20,20,Graphite,Low,Full,Fast,Volkl Synthetic,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Anniversary Cosmetic!,50-60 pounds
Volkl Vostra 1 Power Arm Racquet,,115,741.93,27.8,70.61,9.5,269,14.4,36.58,4 pts HH,317,69,28.5,27.5,28.5,Red Cell/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Volkl Synthetic,16,17,"17 Crosses Mains skip: 7T,9T,8H One Piece No Shared Holes",Blue,48-58 pounds
Volkl Vostra V7 Racquet,,100,645.16,27,68.58,11.2,318,13,33.02,4,320,69,24,26,23,Red Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black,50-60 pounds
Volkl Vostra V9 290g Racquet,,100,645.16,27,68.58,10.7,303,13.18,33.48,3,305,65,21,23,21,Red Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black,50-60 pounds
Volkl Vostra V5 Racquet,,100,645.16,27,68.58,9.8,278,13.38,33.99,1,290,69,22.5,24.5,22.5,VCell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl Synthetic,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Blue,50-60 pounds
Volkl V1 EVO Racquet,,102,658.06,27,68.58,11.3,320,13.09,33.25,3,326,64,27,25,22,Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl Synthetic,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Silver,50-60 pounds
Volkl V-Cell 9 Racquet,,100,645.16,27,68.58,11.5,326,12.79,32.49,6,317,68,24,26,23,V-Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black/Silver,50-60 pounds
Volkl C10 Pro 2022 Racquet,,98,632.26,27,68.58,12.3,349,12.5,31.75,8,326,62,20,20,20,Graphite,Low,Full,Fast,Volkl Synthetic,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black/Yellow,50-60 pounds
Volkl Vostra V10 300g Racquet,,98,632.26,27,68.58,11.2,318,13.18,33.48,3,314,68,20.5,22.5,21,Red Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Gray,50-60 pounds
Volkl Vostra V6 Racquet,,100,645.16,27,68.58,10.2,289,13.38,33.99,1,301,68,24,26,23,Red Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",White,50-60 pounds
Volkl V-Cell V1 MP Racquet,,102,658.06,27,68.58,10.6,301,12.99,32.99,4,302,68,25,22,28,VCell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl Synthetic,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Grey,50-60 pounds
Volkl V-Cell 5 Racquet,,100,645.16,27,68.58,9.8,278,13.38,33.99,1,287,69,22.5,24.5,22.5,VCell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl Synthetic,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Blue,50-60 pounds
Volkl Vostra V3 Racquet,,110,709.68,27.8,70.61,10,283,13.65,34.67,2,311,67,28,27,26,Red Cell/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Teal,46-60 pounds
Volkl V-Cell 2 Racquet,,115,741.93,27.6,70.1,10,283,14,35.56,2 pts HH,322,71,28,27,27,VCell/Graphite,Medium-High,Compact-Medium,Slow-Moderate,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Silver,46-60 pounds
Volkl V1 Classic 2022 Racquet,,102,658.06,27,68.58,10.7,303,13.38,33.99,1,317,68,27,25,22,Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl Synthetic,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Grey/Black,50-60 pounds
Volkl V-Cell 7 Racquet,,104,670.97,27.3,69.34,10.9,309,13.38,33.99,2,322,71,23,25,23,V-Cell/Graphite,Medium,Medium,Medium,Volkl Synthetic Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black/White,50-60 pounds
Volkl V-Cell 8 315g Racquet,,100,645.16,27,68.58,11.5,326,12.59,31.98,7,315,66,22,24,22,V-Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Red,50-60 pounds
Volkl Vostra V8 315g Racquet,,100,645.16,27,68.58,11.6,329,12.79,32.49,6,319,66,22,24,22,Red Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,18,"18 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Red,50-60 pounds
Volkl V8 Pro 2023 Racquet,,100,645.16,27,68.58,11.2,318,12.69,32.23,6,316,67,22,24,22,VCell/Graphite,Low,Full,Fast,Volkl VSENSE Grip,18,20,"20 Crosses Mains skip: 8T,10T,8H,10H Two Pieces No Shared Holes",Red,50-60 pounds
Volkl Vostra V10 320g Racquet,,98,632.26,27,68.58,11.9,337,12.59,31.98,7,327,65,20.5,22.5,20.5,Red Cell/Graphite,Low-Medium,Medium-Full,Medium-Fast,Volkl VSENSE Grip,16,19,"19 Crosses Mains skip: 8T,8H One Piece No Shared Holes",Black,50-60 pounds
